N,topic,malfunction,cause,elimination
1,Крышевое оборудование,"Токоприемники подняты, происходит отключение напряжения в КС на ЧС6-001-010, ЧС200-004, 005, 010.",КЗ в цепи крышевого оборудования.,"Видимых или звуковых признаков КЗ на крыше электровоза и в ВВК не обнаружено, не опуская токоприемников ""ход вперед"" в течение 1 минуты, внимательно наблюдать за стрелкой киловольтметра, предварительно убедившись, что токоприемники ""ход вперед"" подняты.
Опустить токоприемники и остановить поезд на благоприятном профиле.
Выключить разъединитель токоприемников ""ход вперед"".
Поднять токоприемники ""ход назад"".
Если напряжение не снимается, следовать на токоприемниках ""ход назад"".
Если напряжение снова снимается, опустить токоприемники ""ход назад"", выключить их разъединители.
Включить разъединители токоприемников ""ход вперед"" и поднять их.
Если напряжение не снимается, следовать токоприемниках ""ход вперед"".
Если напряжение снова снимается, отсоединить кабель 006 (тонкий) подходящий к БВ обеих секций и заизолировать его."
2,Крышевое оборудование,"Токоприемники подняты, происходит отключение напряжения в КС на ЧС6-011-029, ЧС200-003, 006-009, 011, 012.",КЗ в цепи крышевого оборудования.,"Выполнить действия согласно пункта 1.
Если напряжение снова снимается, переключателем N 1246 отключить межсекционный разъединитель 013.
На ведомой секции перекрыть краны 1014 к токоприемникам, на ведущей поднять токоприемник.
Если напряжение не снимается, следовать на ведущей секции.
Если напряжение снова снимается, опустить токоприемник, перекрыть краны 1014 к токоприемникам на ведущей секции, а на ведомой открыть краны 1014 к токоприемникам.
Поднять токоприемники и следовать на ведомой секции."
3,Крышевое оборудование,"Токоприемники подняты, вольтметр (вольтметры) напряжения в КС не показывают, вспомогательные машины не работают.",Неисправность цепи крышевого оборудования.,"В движении при скорости не более 70 км/час поднять токоприемники ""ход назад"", опустить токоприемники ""ход вперед"", если напряжение по киловольтметру появится, следовать на исправных токоприемниках, опустив не исправные."
3,Крышевое оборудование,"Токоприемники подняты, вольтметр (вольтметры) напряжения в КС не показывают, вспомогательные машины не работают.",Неисправность цепи крышевого оборудования.,"Осмотреть 011 высоковольтные предохранители на обеих секциях.
Заменить 011 неисправные предохранители."
4,Силовая цепь тяговых двигателей,На 2-3-й позиции ПК-330 при включённом БВ нет нагрузки на тяговых двигателях одной из секций.,Неисправность (обрыв) силовой цепи.,"При отсутствии нагрузки на одной из секций разрешается следовать на одной исправной секции, при разгоне ток тяговых двигателей не должен превышать 400 - 450А.
Появление тока на 27 позиции ПК 330 означает, что произошёл обрыв ПТС или не включается 41 линейный контактор. Для следования на 6 ТД с помощью переключателя ""ход-тормоз"" выявить неисправную группу ПТС данной секции."
5,Силовая цепь тяговых двигателей,На тяговой позиции ПК-330 произошло отключение БВ на неисправной секции с сигнализацией блинкерного реле 3Н ДР-015.,Неисправность (КЗ) силовой цепи.,"На неисправной секции нож 10-11 переключателя ""ХОД-ТОРМОЗ"" 071 поставить в положение отключение тяговых двигателей. При следовании на ""С""-соединении будут работать тяговые двигатели исправной секции. После перехода на ""СП""-соединение на неисправной секции подключатся два исправных тяговых двигателей.
Если при переходе на ""СП""-соединение на неисправной секции отключиться БВ с сигнализацией блинкерного реле 3Н ДР-015, необходимо нож 10-11 переключателя ""ХОД-ТОРМОЗ"" 071 переставить в нормальное положение, а нож 10-11 переключателя ""ХОД-ТОРМОЗ"" 072 поставить в положение отключение тяговых двигателей."
6,Силовая цепь тяговых двигателей,Не включаются БВ на обеих секциях.,Неисправность цепи управления БВ.,"Произвести сброс позиций в 0, убедиться в положении ПК-303 в 0 положении.
Проверить цепь питания 300 АЗВ выключить и снова включить 300 АЗВ, набрать 1-2 позиции ПК-330.
Проверить цепь питания 810 АЗВ выключить и снова включить 810 АЗВ, по положению сигнализатора отопления поезда (горизонтальное).
Проверить цепь питания 462 АЗВ:
а) выключить и снова включить 462 АЗВ, при включении обогрева масла в картере компрессора на АБ идёт падение напряжения (по вольтметру).
б) положение рукояток ""СТОП"" 1203 и 1204, кнопок отключение БВ 1201 и 1202 (в обеих кабинах) - визуально.
в) цепи питания 300 АЗВ - идёт набор позиций ПК330.
г) цепи питания 810 АЗВ - сигнализатор отопления поезда в горизонтальном положении.
Проверить наличие воздуха в цепях управления.
Проверить положение крана 1017."
7,Силовая цепь тяговых двигателей,После отключения БВ на данной секции - БВ не восстанавливается.,"Неисправности в схеме управления электровозом из-за обрыва цепи питания 323 реле ""0"" тока.","Проверить включение 323 реле ""0"" тока на данной секции.
Проверить секвенцию на электровозе для установки надежного контакта в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока.
Проверить контакты в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока."
8,Силовая цепь вспомогательных машин,Срабатывает БВ на одной из секций с выпадением ДР-201.,КЗ в цепи вспомогательных машин.,"Следовать на исправной секции, аварийный переключатель АБ N 578 перевести на неисправную секцию."
8,Силовая цепь вспомогательных машин,Срабатывает БВ на одной из секций с выпадением ДР-201.,КЗ в цепи вспомогательных машин.,"Выключатели мотор-компрессоров, мотор-вентиляторов, отопления рабочей и нерабочей кабины выключить."
8,Силовая цепь вспомогательных машин,Срабатывает БВ на одной из секций с выпадением ДР-201.,КЗ в цепи вспомогательных машин.,Последовательно включать вспомогательные машины с целью определения неисправной цепи.
8,Силовая цепь вспомогательных машин,Срабатывает БВ на одной из секций с выпадением ДР-201.,КЗ в 1-ом МК.,Следовать на 2-ом МК.
8,Силовая цепь вспомогательных машин,Срабатывает БВ на одной из секций с выпадением ДР-201.,КЗ во 2-ом МК.,Следовать на 1-ом МК.
8,Силовая цепь вспомогательных машин,Срабатывает БВ на одной из секций с выпадением ДР-201.,КЗ в цепи МВ.,"Следовать на исправной секции, аварийный переключатель АБ N 578 перевести на неисправную секцию."
8,Силовая цепь вспомогательных машин,Срабатывает БВ на одной из секций с выпадением ДР-201.,КЗ в цепи МВ-214.,"При помощи 200-го переключателя собрать аварийную схему без МВ-214.
Собрать аварийную схему без 1-2-го ТЭД. Переключатель ""ход-тормоз"" 071 поставить в положение ""отключено""."
8,Силовая цепь вспомогательных машин,Срабатывает БВ на одной из секций с выпадением ДР-201.,КЗ в цепи МВ-215.,"При помощи 200-го переключателя собрать аварийную схему без МВ-215.
Собрать аварийную схему без 3-4-го ТЭД. Переключатель ""ход-тормоз"" 072 поставить в положение ""отключено""."
8,Силовая цепь вспомогательных машин,Срабатывает БВ на одной из секций с выпадением ДР-201.,"КЗ в цепи пусковых сопротивлениях МВ, контакторах МВ 211, 212.","Изъять высоковольтный предохранитель 209.
Собрать аварийную схему без 1-2-го, 3-4-го ТЭД. Переключатели ""ход-тормоз"" 071 и 072 поставить в положение ""отключено"".
Аварийный переключатель АБ N 578 перевести на неисправную секцию."
9,Силовая цепь вспомогательных машин,Не включаются МК.,Неисправности цепи МК-1.,"Осмотреть 25А высоковольтный предохранитель N 202.
Заменить неисправный 25А высоковольтный предохранитель N 202."
9,Силовая цепь вспомогательных машин,Не включаются МК.,Неисправности цепи МК-1.,"Проверить включение контактора N 203 на слух.
При не включении контактора N 203, следовать на 2-ом МК."
9,Силовая цепь вспомогательных машин,Не включаются МК.,Неисправности цепи МК-2.,"Осмотреть 25А высоковольтный предохранитель N 202.
Заменить неисправный 25А высоковольтный предохранитель N 202."
9,Силовая цепь вспомогательных машин,Не включаются МК.,Неисправности цепи МК-2.,"Проверить включение контактора N 203 на слух.
При не включении контактора N 203, следовать на 1-ом МК."
10,Силовая цепь вспомогательных машин,Не включаются МВ.,Неисправности цепи МВ.,"Осмотреть 40А высоковольтный предохранитель N 204.
Заменить неисправный 40А высоковольтный предохранитель N 204."
10,Силовая цепь вспомогательных машин,Не включаются МВ.,Неисправности цепи МВ.,"Проверить включение контакторов N 211, N 212 на слух.
При не включении контакторов N 211, N 212, следовать на исправной секции. Аварийный переключатель АБ N 578 перевести на неисправную секцию."
10,Силовая цепь вспомогательных машин,Не включаются МВ.,Неисправности цепи МВ.,"Проверить включение 462 АЗВ(ЧС200-004 И ЧС6-010) и 465 АЗВ (ЧС6 011-029 и ЧС200 003, 006-009, 011,12) При повторном срабатывании 462 АЗВ или465 АЗВ необходимо выключить БВ на обеих секциях и восстановить его (462 АЗВ). 465 АЗВ."
10,Силовая цепь вспомогательных машин,Не включаются МВ.,Неисправности цепи МВ.,"Проверить положение 217 теплового реле.
При срабатывании 217 теплового реле восстановить его."
10,Силовая цепь вспомогательных машин,Не включаются МВ.,Неисправности цепи МВ.,"Проверить высоковольтные предохранители 209-1 и 209-2. Неисправные предохранители 209-1 и 209-2 заменить.
На неисправной секции 200 переключатель вспомогательных приводов переключить в положение заправка без батареи."
11,Низковольтные цепи,Токоприемники не поднимаются.,Нет воздуха в резервуаре токоприемника.,Наполнить резервуар токоприемника при помощи вспомогательных компрессоров.
11,Низковольтные цепи,Токоприемники не поднимаются.,Не разворачивается разъединитель (заземлитель).,Переключить разъединитель (заземлитель) вручную.
11,Низковольтные цепи,Токоприемники не поднимаются.,Неисправность цепи управления токоприёмниками.,"Проверить включение 1200 АЗВ.
Выключить и снова включить 1200 АЗВ. По горению красной сигнальной лампы в поперечном коридоре убедиться, что заземлители отключены, а разъединители включены."
11,Низковольтные цепи,Токоприемники не поднимаются.,Неисправность цепи управления токоприёмниками.,"Проверить включение реле контроля закрытия сеток ВВК 1209.
Проверить и закрыть двери ВВК, закрепить сетки ВВК."
11,Низковольтные цепи,Токоприемники не поднимаются.,Неисправность цепи управления токоприёмниками.,"Проверить правильность установки включателей индивидуальной работы токоприемников 1232 и 1233 (в обеих кабинах).
Поставить включатели индивидуальной работы токоприемников 1232 и 1233 (в обеих кабинах) в положение ""0""."
11,Низковольтные цепи,Токоприемники не поднимаются.,Неисправность цепи управления токоприёмниками.,Проверить наличие напряжения на 1622 проводе.
12,Низковольтные цепи,Не включаются БВ на обеих секциях.,Неисправность цепи управления БВ.,"Проверить цепь питания 300 АЗВ:
выключить и снова включить 300 АЗВ, набрать 1-2 позиции ПК-330."
12,Низковольтные цепи,Не включаются БВ на обеих секциях.,Неисправность цепи управления БВ.,"Проверить цепь питания 810 АЗВ:
выключить и снова включить 810 АЗВ, по положению сигнализатора отопления поезда (горизонтальное)."
12,Низковольтные цепи,Не включаются БВ на обеих секциях.,Неисправность цепи управления БВ.,"Проверить цепь питания 462 АЗВ:
выключить и снова включить 462 АЗВ, при включении обогрева масла в картере компрессора на АБ идёт падение напряжения (по вольтметру)."
12,Низковольтные цепи,Не включаются БВ на обеих секциях.,Отсутствует воздух цепи управления БВ.,Проверить наличие воздуха в цепях управления.
12,Низковольтные цепи,Не включаются БВ на обеих секциях.,Отсутствует воздух цепи управления БВ.,Проверить положение крана 1017
13,Низковольтные цепи,Не включаются БВ на одной из секций.,Неисправность электрических цепей одной из секций.,"Следовать на исправной секции, аварийный переключатель АБ 578 перевести на неисправную секцию."
14,Низковольтные цепи,После отключения БВ на данной секции - БВ не восстанавливается.,"Неисправности в схеме управления электровозом из-за обрыва цепи питания 323 реле ""0"" тока.","Проверить контакты в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока."
15,Низковольтные цепи,Не работает МК на одной из секций.,Неисправность цепи питания МК.,"Проверить работу компрессоров в положении ""ручное""."
15,Низковольтные цепи,Не работает МК на одной из секций.,Неисправность цепи питания МК.,"Проверить положение 208 теплового реле.
При срабатывании 208 теплового реле восстановить его."
15,Низковольтные цепи,Не работает МК на одной из секций.,Неисправность цепи питания МК.,"Проверить включение контактора 203-1 на 1 секции или 203-2 на 2 секции.
Убедиться во включении контактора 203-1 на 1 секции или 203-2 на 2 секции на слух."
15,Низковольтные цепи,Не работает МК на одной из секций.,Неисправность цепи питания МК.,Проверить высоковольтные предохранители 202-1 и 202-2. Неисправные заменить.
15,Низковольтные цепи,Не работает МК на одной из секций.,Неисправность цепи питания МК.,"Проверить включение 462 АЗВ (ЧС200-004 и ЧС6-010) и 465 АЗВ (ЧС6 011-029 и ЧС200 003, 006-009, 011,12) При повторном срабатывании 462 АЗВ или465 АЗВ необходимо выключить БВ на обеих секциях и восстановить его (462 АЗВ, 465 АЗВ)."
16,Низковольтные цепи,Не работают МВ на одной из секций.,Неисправность цепи питания МВ.,"Проверить положение 217 теплового реле.
При срабатывании 217 теплового реле восстановить его."
16,Низковольтные цепи,Не работают МВ на одной из секций.,Неисправность цепи питания МВ.,Проверить включение контактора 211-1 на 1 секции или 211-2 на 2 секции.
16,Низковольтные цепи,Не работают МВ на одной из секций.,Неисправность цепи питания МВ.,Убедиться во включении контактора 211-1 на 1 секции или 211-2 на 2 секции на слух.
16,Низковольтные цепи,Не работают МВ на одной из секций.,Неисправность цепи питания МВ.,"Проверить высоковольтные предохранители 209-1 и 209-2.
Неисправные предохранители 209-1 и 209-2 заменить."
17,Низковольтные цепи,"При выключении вентиляторов после перевода пакетника 418 (419) из положения ""выкл."" в положение ""СТ"" или ""А"" на секции, где 323 реле не включено, вентиляторы самопроизвольно запускаются вновь.","Неисправности в схеме управления электровозом из-за обрыва цепи питания 323 реле ""0"" тока.","Проверить контакты в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока."
18,Низковольтные цепи,Отсутствует набор позиций ПК-330 с пульта.,Неисправность цепи питания ПК-330.,"Проверить положение переключателя 362 на ПК-330, убедиться в открытом положении крана 1004-1 к ПК-330.
Переключатель 362 на ПК-330 поставить в вертикальное положение, кран 1004-1 к ПК-330 открыть."
18,Низковольтные цепи,Отсутствует набор позиций ПК-330 с пульта.,Неисправность цепи питания ПК-330.,"Проверить включение 324 АЗВ.
Выключить и снова включить 324 АЗВ."
18,Низковольтные цепи,Отсутствует набор позиций ПК-330 с пульта.,Неисправность цепи питания ПК-330.,"Проверить включение 333 контакторов перехода на обеих секциях.
Проверить правильность установки реверсоров (на головной секции замкнуты нижние силовые контакты, а на ведомой верхние)."
18,Низковольтные цепи,Отсутствует набор позиций ПК-330 с пульта.,Неисправность цепи питания ПК-330.,"Проверить правильность установки переключателей Х-Т 071 и 072 в положении ""ход"" на обеих секциях (замкнуты нижние силовые контакты)."
18,Низковольтные цепи,Отсутствует набор позиций ПК-330 с пульта.,Неисправность цепи питания ПК-330.,"На электровозах ЧС6 001-010 и ЧС200 004, 005, 010 перейти на управление ПК-330 переключателем аварийного управления 365."
18,Низковольтные цепи,Отсутствует набор позиций ПК-330 с пульта.,Неисправность цепи питания ПК-330.,"На электровозах ЧС6 011-029 и ЧС200 003, 006-009, 011, 012 перейти на управление аварийным контроллером 386 (387), предварительно открыть жалюзи при помощи переключателя 590 (591)."
19,Низковольтные цепи,"Переключатель ""ход-тормоз"" из положения ""тормоз"" в положение ""ход"" не переходит, а также не происходит смена направления движения.","Неисправности в схеме управления электровозом из-за обрыва цепи питания 323 реле ""0"" тока.","Проверить контакты в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока."
20,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,Нет сброса позиций ПК-330 от кнопок 303(308) и 325(327).,Обрыв 862 диода в цепи промежуточного реле сброса 313.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
21,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"При нажатии кнопок 303(308) в положение ""-1"" происходит автоматический сброс до отпуска данной кнопки.",Пробой 315 или 369 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
22,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"При нажатии на кнопку 304(309) или 326(328) положение ""+1"" происходит автоматический набор до отпуска данных кнопок.",Пробой 316 диода в цепи самоудержания промежуточного реле набора 314.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
23,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"При нажатии на кнопку 304(309) в положение ""+"" отсутствует автоматический набор позиций.",Обрыв 317 диода в цепи питания 318 провода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
24,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"При нажатии на кнопку 304(309) в положение ""+"" ПК-330 переходит на одну позицию и дальше не идет.
При нажатии на кнопку 304(309) в положение ""+1"" происходит звонковая работа ПК-330 между ""0"" и первой позицией.",Пробой 368 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
25,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"На 27-ой позиции ПК-330, при нажатии на кнопку 304(309) в положение ""+1"" или ""+"", (кнопка ""ШП"" 305(306) в выключенном положении) не происходит автоматического перехода на 34-ю позицию. ПК-330 дальше 32-ой позиции не идет.",Обрыв 316 или 317 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
26,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"При переходе с ""СП"" на ""С""-соединение нет автоматического перехода ПК-330 с 34-ой на 27-ю позицию.",Обрыв 317 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
27,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"На 32-ой позиции ПК-330 при включении кнопки ""ШП"" 305(310) не происходит автоматического сброса с 32-ой на 27-ю позицию.",Обрыв 317 или 318 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
28,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"При сбросе кнопкой ""-1"" 303(308) с ""СП"" на ""С""-соединение ПК-330 не переходит с 34-ой на 27-ю позицию.",Обрыв 315 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
29,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"При нажатии кнопки ""ШП"" 305(310) ПК-330 дальше 27-ой позиции не идет.",Пробой 317 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
30,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"При переходе на ""СП""-соединение не работают 3-4 ТЭД на 1-ой секции. Не включается 40-ой контактор (5-6 ТЭД на 2-ой секции 41-й контактор).",Обрыв 860 диода на первой секции или 861 диода на второй секции.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
31,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,Нет автоматического сброса позиций ПК-330 при боксовании.,Обрыв 791 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
32,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,При нажатии кнопки подачи песка происходит сброс позиций ПК-330 и звуковая сигнализация зуммера.,Пробой 792 или 793 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
33,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,Нет автоматического сброса позиций ПК-330 при боксовании или при выключении ключа ЭПК в рабочей кабине.,Обрыв 369 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
34,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,При выключенном ключе ЭПК в рабочей кабине работает зуммер.,Пробой диода 791.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
35,Неисправности низковольтных цепей из-за обрыва или пробоя диодов,"При торможении ЭПТ в положении ""П"" происходит наполнение тормозных цилиндров до максимального значения.",Пробой 377 диода.,"Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции."
36,"Особенности в цепях управления отоплением поезда на электровозах ЧС200 N 003, 006-009, 011, 012 и ЧС6 с N 011",Срабатывание БВ на 1-ой секции (при исправной работе отопления поезда).,"Неисправность БВ 1-ой секции, повреждение силовой цепи БВ 1-ой секции.","Изъять нож 226 на первой секции.
Вставить нож 226 в гнездо на второй секции.
После включения контактора отопления поезда 701 на 1 секции, питание получают пинчи на обеих секциях от БВ-2."
